validTime,primary,primaryUnits,secondary,secondaryUnits,generatedTime
2025-04-27T06:00:00Z,27.1,ft,7.4,kcfs,2025-04-27T01:24:38Z
2025-04-27T12:00:00Z,27.9,ft,11,kcfs,2025-04-27T01:24:38Z
2025-04-27T18:00:00Z,28.5,ft,16.2,kcfs,2025-04-27T01:24:38Z
2025-04-28T00:00:00Z,28.4,ft,15.2,kcfs,2025-04-27T01:24:38Z
2025-04-28T06:00:00Z,28.1,ft,12.6,kcfs,2025-04-27T01:24:38Z
2025-04-28T12:00:00Z,27.9,ft,11,kcfs,2025-04-27T01:24:38Z
2025-04-28T18:00:00Z,27.5,ft,8.91,kcfs,2025-04-27T01:24:38Z
2025-04-29T00:00:00Z,27.1,ft,7.4,kcfs,2025-04-27T01:24:38Z
2025-04-29T06:00:00Z,26.6,ft,5.84,kcfs,2025-04-27T01:24:38Z
2025-04-29T12:00:00Z,26.3,ft,5.27,kcfs,2025-04-27T01:24:38Z
2025-04-29T18:00:00Z,25.6,ft,4.82,kcfs,2025-04-27T01:24:38Z
2025-04-30T00:00:00Z,24.9,ft,4.57,kcfs,2025-04-27T01:24:38Z
2025-04-30T06:00:00Z,24.1,ft,4.33,kcfs,2025-04-27T01:24:38Z
2025-04-30T12:00:00Z,22,ft,3.74,kcfs,2025-04-27T01:24:38Z
2025-04-30T18:00:00Z,19.3,ft,3.02,kcfs,2025-04-27T01:24:38Z
2025-05-01T00:00:00Z,17.5,ft,2.56,kcfs,2025-04-27T01:24:38Z
2025-05-01T06:00:00Z,15.9,ft,2.17,kcfs,2025-04-27T01:24:38Z
2025-05-01T12:00:00Z,14.8,ft,1.91,kcfs,2025-04-27T01:24:38Z
2025-05-01T18:00:00Z,14.1,ft,1.75,kcfs,2025-04-27T01:24:38Z
2025-05-02T00:00:00Z,13.3,ft,1.57,kcfs,2025-04-27T01:24:38Z
