validTime,primary,primaryUnits,secondary,secondaryUnits,generatedTime
2025-03-28T05:00:00Z,4.8,ft,0.0376,kcfs,2025-03-28T05:54:40Z
2025-03-28T05:30:00Z,4.8,ft,0.0376,kcfs,2025-03-28T05:54:40Z
2025-03-28T06:00:00Z,4.79,ft,0.0369,kcfs,2025-03-28T06:54:36Z
2025-03-28T06:30:00Z,4.79,ft,0.0369,kcfs,2025-03-28T06:54:36Z
2025-03-28T07:00:00Z,4.79,ft,0.0369,kcfs,2025-03-28T07:54:41Z
2025-03-28T07:30:00Z,4.79,ft,0.0369,kcfs,2025-03-28T07:54:41Z
2025-03-28T08:00:00Z,4.79,ft,0.0369,kcfs,2025-03-28T08:54:44Z
2025-03-28T08:30:00Z,4.79,ft,0.0369,kcfs,2025-03-28T08:54:44Z
2025-03-28T09:00:00Z,4.79,ft,0.0369,kcfs,2025-03-28T09:54:44Z
2025-03-28T09:30:00Z,4.79,ft,0.0369,kcfs,2025-03-28T09:54:44Z
2025-03-28T10:00:00Z,4.78,ft,0.0363,kcfs,2025-03-28T10:54:36Z
2025-03-28T10:30:00Z,4.78,ft,0.0363,kcfs,2025-03-28T10:54:36Z
2025-03-28T11:00:00Z,4.78,ft,0.0363,kcfs,2025-03-28T11:54:39Z
2025-03-28T11:30:00Z,4.78,ft,0.0363,kcfs,2025-03-28T11:54:39Z
2025-03-28T12:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T12:54:38Z
2025-03-28T12:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T12:54:38Z
2025-03-28T13:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T13:54:38Z
2025-03-28T13:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T13:54:38Z
2025-03-28T14:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T14:54:38Z
2025-03-28T14:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T14:54:38Z
2025-03-28T15:00:00Z,4.76,ft,0.0351,kcfs,2025-03-28T15:54:43Z
2025-03-28T15:30:00Z,4.76,ft,0.0351,kcfs,2025-03-28T15:54:43Z
2025-03-28T16:00:00Z,4.76,ft,0.0351,kcfs,2025-03-28T16:54:38Z
2025-03-28T16:30:00Z,4.76,ft,0.0351,kcfs,2025-03-28T16:54:38Z
2025-03-28T17:00:00Z,4.76,ft,0.0351,kcfs,2025-03-28T17:54:43Z
2025-03-28T17:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T17:54:43Z
2025-03-28T18:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T18:54:40Z
2025-03-28T18:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T18:54:40Z
2025-03-28T19:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T19:54:39Z
2025-03-28T19:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T19:54:39Z
2025-03-28T20:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T20:54:40Z
2025-03-28T20:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T20:54:40Z
2025-03-28T21:00:00Z,4.77,ft,0.0357,kcfs,2025-03-28T21:54:40Z
2025-03-28T21:30:00Z,4.77,ft,0.0357,kcfs,2025-03-28T21:54:40Z
